Gene.1,raw_pvalues,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,fold change,is_interesting
544988,0.011047433361635694,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.027006348796609424,0.28541681410881264,0.012723348297262247,0.01430860303747815,-0.043041666666665535,False
100043387,0.17589914394607747,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.2653373269818723,1.0,0.12500687349038334,0.14058199838127713,-0.08370000000000033,False
0610007C21Rik,0.602465997231361,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.6952877933164253,1.0,0.3275670038857828,0.36837993563268745,-0.012174999999999159,False
0610007L01Rik,0.5792773423311008,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.6758132490809782,1.0,0.3183920720538595,0.3580618609866321,0.008500000000001506,False
0610007P08Rik,0.06630665910391116,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.12002038477442596,1.0,0.05654452476182825,0.06358964164597672,-0.06343749999999915,False
0610007P14Rik,0.010238234535376065,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.025346352265246046,0.26787312743788816,0.011941283524276898,0.01342909757045807,-0.1525749999999988,False
0610007P22Rik,0.13472210941184576,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.21407883407376846,1.0,0.10085774976491212,0.11342403516140166,-0.048049999999999926,False
0610008F07Rik,0.0046238797034493006,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.012841823114324025,0.1357189106992293,0.0060500954603641514,0.006803901949286941,0.20599999999999952,False
0610009B14Rik,0.14661526045899445,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.22935551025377157,1.0,0.10805496377286687,0.12151797991631817,0.052199999999999136,False
0610009B22Rik,0.0371831949102197,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.07471885338345731,0.7896668019501876,0.03520187060937144,0.03958781768432345,-0.05605000000000082,False
0610009D07Rik,0.10161444597356872,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.17030277661272133,1.0,0.08023378351339887,0.09023044340735467,0.06635000000000169,False
0610009L18Rik,0.31567308580549674,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.42330902355634475,1.0,0.19943118503888796,0.22427914361421045,-0.03472500000000167,False
0610009O20Rik,0.00020627078184927859,0.9889396329842768,0.9684185605261123,1.0,0.9999724202693399,0.9999166781482342,0.0008853789112795357,0.00935713413315095,0.00041712355669029465,0.00046909471082755044,-0.10469999999999935,False
0610010F05Rik,0.23309709017011915,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.3331811314391563,1.0,0.15696974120057708,0.17652725235998018,0.04910000000000103,False
0610010K06Rik,0.0017818693497680673,1.0,0.9999999999976168,1.0,0.9999724202693399,0.99997242026934,0.005696503258006699,0.06020354042323811,0.0026837613471543354,0.003018142305514179,-0.11466249999999967,False
0610010K14Rik,2.5865144857066955e-05,0.43151067414536337,0.3710417807590556,0.4636844518526393,0.4636844518526393,0.318322337755923,0.00014447823943567587,0.0015269194335873334,6.806721543736193e-05,7.654799214836287e-05,-0.19140000000000157,False
0610010O12Rik,0.4107483334718942,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.5194723348600527,1.0,0.24473606176804957,0.2752287428575907,0.04854999999999876,False
0610011F06Rik,0.31336353197328287,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.42103825737718487,1.0,0.19836137181768265,0.22307603792623945,0.03655000000000008,False
0610011L14Rik,0.032251643716399644,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.06642496283121403,0.7020127530516688,0.031294416883201226,0.03519351809047244,-0.06032499999999885,False
0610012G03Rik,0.008780831470306524,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.022206330224014702,0.23468777928181977,0.010461942707324902,0.011765439544884768,-0.06754999999999889,False
0610012H03Rik,3.6302037282434226e-07,0.007895219013099974,0.007073433636213156,0.007098567678527907,0.0070985003702071885,0.006281704531352419,3.47351000903572e-06,3.6709818421604464e-05,1.6364551162331326e-06,1.8403478471047187e-06,-0.3865499999999997,True
0610025J13Rik,0.20244359309129906,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.29755087751023646,1.0,0.1401834612753745,0.15764950019018423,-0.05287499999999934,False
0610030E20Rik,0.6109761961434325,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.7028433987592472,1.0,0.3311266335258244,0.37238307429476086,0.015475000000002126,False
0610031J06Rik,0.0953678967357691,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.16166120838642328,1.0,0.07616253037193205,0.08565193594962285,-0.042724999999999014,False
0610037D15Rik,0.824572225726157,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.8750685078362399,1.0,0.41226607465589193,0.46363201495787076,0.01034999999999986,False
0610037L13Rik,0.001116050180497963,0.9999999999742494,0.999999967078975,1.0,0.9999724202693399,0.99997242026934,0.0038034892603672583,0.0401972067889236,0.0017919163737759555,0.0020151786675709047,-0.10620000000000118,False
